company_id,employee_count,follower_count,time_recorded
1009,311223,16314846,1713501255
1016,57001,2196350,1713569031
1025,79559,3588329,1713453258
1028,191374,9497909,1713540073
1033,565191,11890321,1713569451
1035,227317,22253257,1713540073
1038,435078,15221049,1713561483
1043,217641,6814908,1713457472
1044,291883,6085704,1713458710
1052,174692,1485885,1713550457
1053,122352,3549356,1713540893
1060,110082,1986532,1713539379
1063,99409,6350964,1713568193
1066,23882,451724,1713457023
1068,295191,4956942,1713461184
1070,85836,1586666,1713479472
1073,351055,8768122,1713539462
1079,52340,1424470,1713521878
1088,21692,682896,1713286326
1090,69239,2390290,1713562339
1103,92499,1297137,1713562137
1115,112899,3532091,1713460252
1116,86021,7793701,1713564698
1123,206135,2440471,1713566455
1136,768,25771,1713524435
1182,80234,692579,1713565370
1185,99936,5794868,1713565055
1207,103102,8913602,1713453628
1214,79769,1520100,1713563843
1224,25875,200785,1713514642
1235,194312,2216021,1713457730
1248,117423,19137562,1713471425
1252,20793,1158049,1713493900
1253,8741,390457,1713493835
1256,9380,1485670,1713459248
1259,85377,2054384,1713492355
1262,71226,2373512,1713480976
1264,3699,142532,1713287419
1269,35517,819834,1712857939
1271,135175,6452159,1713456123
1277,76160,2120069,1713541228
1281,24394,486400,1713534004
1283,322488,8648117,1713538677
1288,8419,707200,1713567835
1292,169083,5680348,1713522890
1307,75676,931378,1713561810
1318,245662,8730635,1713554753
1337,25257,26255390,1713460185
1339,2717,157171,1713496299
1344,126219,2765351,1713536526
1353,596046,14829798,1713536641
1359,3627,437038,1712657729
1360,121,27262,1712363958
1371,44417,5798477,1713459785
1373,52039,927712,1713482185
1377,1633,39604,1713502918
1382,54575,4269106,1713567192
1384,114567,3207187,1713474919
1389,65485,3507038,1713535567
1392,87008,540874,1713536108
1393,177498,15327449,1713476198
1399,103251,3948076,1713450953
1400,33094,1723601,1713567045
1403,39065,661483,1713566657
1406,76745,3792646,1713472963
1412,87710,1211557,1713566231
1415,67195,1422135,1713472143
1419,55249,699842,1713554885
1426,72034,1720283,1713452833
1431,118443,7960325,1713540845
1441,283472,32702835,1713567335
1449,31616,1353329,1713563843
1455,2400,154975,1713475744
1463,68827,1345096,1713563362
1464,7880,116420,1713461051
1466,10607,373709,1713390453
1468,112796,2911974,1713566709
1472,109499,3204519,1713566189
1474,13956,138799,1713557113
1480,36889,4562622,1713562004
1481,18527,540316,1713470835
1482,30580,1365015,1713566709
1483,126559,3793985,1713567488
1486,67032,2254511,1713553631
1491,16644,876147,1713563843
1494,13495,391007,1713240329
1497,33372,1401867,1713564543
1504,3827,51721,1713460451
1505,44200,936991,1713564188
1508,174819,1421862,1712899095
1511,41180,2739811,1713568871
1515,8092,105543,1713557052
1517,4098,139444,1713210368
1523,148730,1737280,1713564120
1526,17321,584343,1713481952
1534,159657,850506,1713464472
1539,35551,1092057,1712350421
1544,55565,1430662,1713561614
1550,123436,851294,1713458509
1586,748312,30832772,1713539135
1597,9829,273736,1712651836
1602,91196,3261901,1713567923
1603,69619,2846348,1713564748
1612,134435,3536306,1713567663
1614,35929,388504,1713480014
1627,29032,159766,1712385063
1629,12009,108171,1713480830
1632,4887,46942,1713474843
1637,44430,981308,1713460584
1642,86201,3949955,1713502918
1645,10820,351575,1713515072
1646,24100,2306407,1713471913
1654,1711,247716,1713414736
1657,7803,129582,1713400650
1658,15910,148935,1713473884
1659,11130,79294,1713488458
1662,82684,4918975,1712384840
1663,42885,1754330,1713522593
1666,16201,682375,1713457023
